t,x,y
4.667,-0.118,1.97E-02
4.7,-0.117,1.92E-02
4.733,-0.113,1.81E-02
4.767,-0.108,1.66E-02
4.8,-0.1,1.45E-02
4.833,-9.13E-02,1.21E-02
4.867,-8.03E-02,9.52E-03
4.9,-6.83E-02,7.34E-03
4.933,-5.48E-02,5.32E-03
4.967,-4.08E-02,3.70E-03
5,-2.61E-02,2.50E-03
5.033,-1.14E-02,2.10E-03
5.067,3.05E-03,2.33E-03
5.1,1.55E-02,2.91E-03
5.133,2.79E-02,3.78E-03
5.167,3.94E-02,5.12E-03
5.2,4.94E-02,6.64E-03
5.233,5.85E-02,8.18E-03
5.267,6.55E-02,9.49E-03
5.3,7.07E-02,1.05E-02
5.333,7.39E-02,1.13E-02
5.367,7.56E-02,1.18E-02
5.4,7.54E-02,1.16E-02
5.433,7.33E-02,1.11E-02
5.467,6.96E-02,1.03E-02
5.5,6.42E-02,9.22E-03
5.533,5.75E-02,7.92E-03
5.567,4.95E-02,6.59E-03
5.6,4.08E-02,5.26E-03
5.633,3.07E-02,4.00E-03
5.667,1.96E-02,3.05E-03
5.7,8.62E-03,2.36E-03
5.733,-2.93E-03,2.11E-03
5.767,-1.40E-02,2.17E-03
5.8,-2.56E-02,2.62E-03
5.833,-3.56E-02,3.26E-03
5.867,-4.54E-02,4.19E-03
5.9,-5.33E-02,5.08E-03
5.933,-6.08E-02,6.13E-03
5.967,-6.70E-02,7.14E-03
6,-7.16E-02,7.93E-03
6.033,-7.47E-02,8.49E-03
6.067,-7.64E-02,8.75E-03
6.1,-7.66E-02,8.88E-03
6.133,-7.55E-02,8.68E-03
6.167,-7.31E-02,8.18E-03
6.2,-6.95E-02,7.63E-03
6.233,-6.46E-02,6.85E-03
6.267,-5.85E-02,5.85E-03
6.3,-5.14E-02,4.83E-03
6.333,-4.35E-02,4.01E-03
6.367,-3.43E-02,3.28E-03
6.4,-2.58E-02,2.70E-03
6.433,-1.63E-02,2.28E-03
6.467,-6.86E-03,2.17E-03
6.5,2.45E-03,2.34E-03
6.533,1.15E-02,2.68E-03
6.567,2.00E-02,3.18E-03
6.6,2.58E-02,3.69E-03
6.633,3.25E-02,4.43E-03
6.667,3.85E-02,5.15E-03
6.7,4.31E-02,5.78E-03
6.733,4.65E-02,6.29E-03
6.767,4.88E-02,6.62E-03
6.8,4.99E-02,6.67E-03
6.833,4.96E-02,6.60E-03
6.867,4.80E-02,6.34E-03
6.9,4.52E-02,6.02E-03
6.933,4.14E-02,5.54E-03
6.967,3.69E-02,4.81E-03
7,3.11E-02,4.20E-03
7.033,2.47E-02,3.53E-03
7.067,1.75E-02,2.97E-03
7.1,9.89E-03,2.52E-03
7.133,2.00E-03,2.19E-03
7.167,-6.21E-03,2.14E-03
7.2,-1.41E-02,2.16E-03
7.233,-2.21E-02,2.37E-03
7.267,-2.94E-02,2.70E-03
7.3,-3.63E-02,3.20E-03
7.333,-4.25E-02,3.74E-03
7.367,-4.79E-02,4.26E-03
7.4,-5.22E-02,4.80E-03
7.433,-5.56E-02,5.29E-03
7.467,-5.80E-02,5.63E-03
7.5,-5.93E-02,5.81E-03
7.533,-5.96E-02,5.82E-03
7.567,-5.88E-02,5.78E-03
7.6,-5.70E-02,5.55E-03
7.633,-5.42E-02,5.11E-03
7.667,-5.05E-02,4.68E-03
7.7,-4.60E-02,4.23E-03
7.733,-4.08E-02,3.70E-03
7.767,-3.49E-02,3.18E-03
7.8,-2.83E-02,2.74E-03
7.833,-2.14E-02,2.44E-03
7.867,-1.44E-02,2.21E-03
7.9,-7.39E-03,2.12E-03
7.933,-4.22E-04,2.15E-03
7.967,6.23E-03,2.38E-03
8,1.26E-02,2.68E-03
8.033,1.85E-02,2.98E-03
8.067,2.38E-02,3.44E-03
8.1,2.82E-02,3.84E-03
8.133,3.18E-02,4.20E-03
8.167,3.46E-02,4.49E-03
8.2,3.65E-02,4.71E-03
8.233,3.74E-02,4.78E-03
8.267,3.73E-02,4.78E-03
8.3,3.63E-02,4.68E-03
8.333,3.43E-02,4.48E-03
8.367,3.14E-02,4.18E-03
8.4,2.77E-02,3.74E-03
8.433,2.33E-02,3.42E-03
8.467,1.83E-02,2.98E-03
8.5,1.27E-02,2.67E-03
8.533,6.71E-03,2.38E-03
8.567,3.62E-04,2.17E-03
8.6,-6.02E-03,2.09E-03
8.633,-1.25E-02,2.15E-03
8.667,-1.88E-02,2.28E-03
8.7,-2.48E-02,2.45E-03
8.733,-3.05E-02,2.76E-03
8.767,-3.55E-02,3.18E-03
8.8,-4.00E-02,3.50E-03
8.833,-4.38E-02,3.94E-03
8.867,-4.67E-02,4.25E-03
8.9,-4.88E-02,4.49E-03
8.933,-5.01E-02,4.72E-03
8.967,-5.04E-02,4.78E-03
9,-4.98E-02,4.74E-03
9.033,-4.86E-02,4.57E-03
9.067,-4.64E-02,4.31E-03
9.1,-4.36E-02,4.00E-03
9.133,-4.02E-02,3.69E-03
9.167,-3.60E-02,3.35E-03
9.2,-3.13E-02,2.98E-03
9.233,-2.62E-02,2.70E-03
9.267,-2.07E-02,2.45E-03
9.3,-1.52E-02,2.33E-03
9.333,-9.35E-03,2.22E-03
9.367,-3.48E-03,2.15E-03
9.4,2.16E-03,2.19E-03
9.433,7.53E-03,2.40E-03
9.467,1.26E-02,2.65E-03
9.5,1.71E-02,2.93E-03
9.533,2.11E-02,3.22E-03
9.567,2.44E-02,3.47E-03
9.6,2.69E-02,3.72E-03
9.633,2.87E-02,3.92E-03
9.667,2.97E-02,3.99E-03
9.7,2.98E-02,3.99E-03
9.733,2.92E-02,3.95E-03
9.767,2.78E-02,3.76E-03
9.8,2.56E-02,3.53E-03
9.833,2.27E-02,3.28E-03
9.867,1.92E-02,2.97E-03
9.9,1.51E-02,2.69E-03
9.933,1.06E-02,2.42E-03
9.967,5.60E-03,2.19E-03
10,3.03E-04,2.10E-03
10.033,-5.07E-03,1.99E-03
10.067,-1.06E-02,1.93E-03
10.1,-1.59E-02,2.09E-03
10.133,-2.10E-02,2.20E-03
10.167,-2.59E-02,2.44E-03
10.2,-3.04E-02,2.69E-03
10.233,-3.44E-02,2.95E-03
